"","vtitle","vpoint","vreview"
"620","낮에는 덥고 밤에는 춥고","6","김윤진 배우의 연기가 돋보였습니다"
"621","시카리오: 데이 오브 솔다도","10","저는 너무 재미있던걸요?ㅠㅠㅠ"
"622","공조2: 인터내셔날","8","오랜만에 쫄깃하고 즐거운 영화였습니다!"
"623","옆집사람","9","확실히 비평들도 공감하는 바이지만 왓챠 코멘트 중 이런 코멘트를 보고 더 좋은 영화였다고 재인식 하게 됐다 그 내용은 대충 모두 같은 김우진으로 느껴졌다면 오케이란 글이었는데 신기하게 모두 같은 김우진 같더라 연기력 때문일까 생각도 했지만 그것보단 내가 정말 상대를 김우진으로 보려는 노력이 있어서가 아닐까란 생각이 들었고 그게 이수의 노력이지 않을까란 생각까지 이어졌다. 어떤 작품을 봐도 이런 신선한 이입은 처음이지 않을까... 스토리나 표현 방식, 외모로 상대방을 인식하고 평가하게 된다는 틀에서 상업성을 놓지 못 해 완전히 벗어날 순 없는 영화일지는 몰라도...진짜 김우진을 느낄 수 있다면 당신에게는 좋은 영화인 게 아닐까."
"624","인생은 아름다워","10","돈과 명예를 가진 그였지만 어딘가 공허해 보였다. 찰나의 행복했던 운명들이 있었지만 그에겐 바람과 같았다."
"625","에브리씽 에브리웨어 올 앳 원스","1","관객의 인내심을 길러주는 영화가 또 나왔다~~~ 극장에서 돈내고 보신분들에게 심심한 위로를…"
"626","자백","7","꽤 재미있게 봤네요. 다만 마지막에 기분이 좀 묘했어요. 혼자 밤 늦게 봐서 그런지 모르겠는데 보고나니 마음이 적적해짐.."
"627","20세기 소녀","1","와..댓글알바 판을치네"
"628","살인청부업자","6","생각보다 한국영화로서는 새로운 시도였다. 피로 분칠한 영화이긴 하지만 후반부의 이야기 연결 시도는 좋았다."
"629","리멤버","10","오만과 편견, 때때로 생각해봐야겠다. 그리고 오해와 싸움 화해의 적정선을. 소중한 순간을 잊지말아야겠다. 나도 행복을 믿어야겠다."
"630","낮에는 덥고 밤에는 춥고","10","다양성 영화들이 잘 되어야 파이가 커짐 맨날 멀티플렉스 대형배급사 끼고 스크린 독과점하는 애들만 남으면 영화계 전체적인 질 하락으로 이어지고 그 손해는 고스란히 관객들이 봄 그래서 난 이런 영화도 응원하려고"
"631","시카리오: 데이 오브 솔다도","4","단호하지 못한 결말..."
"632","공조2: 인터내셔날","8","휴먼 ..충청도 휴먼..."
"633","옆집사람","8","재밌다. 배우들 연기력이 끝내줌. 근데 딱 그것이 전부."
"634","인생은 아름다워","8","한국뮤지컬영화라니 신선하고 좋았다 다들 연기 너무 잘함ㅠㅠ"
"635","에브리씽 에브리웨어 올 앳 원스","2","진짜 너무 웃김 ㅋㅋ 코미디 영환가?? 금발 여주는 애인가? 전혀 어울리지 않음 ㅜㅡㅜ 무슨 애한테 치장해놓은거 같이 어색함.. 스토리는 또 뭐고, 중간중간 노래는 또 뭐고 ㅜㅠ 그래도 끝까지 보긴한데 2편 나올려고 하나? ㅋ"
"636","자백","10","와우!홍콩영화가 부활한듯~"
"637","20세기 소녀","1","대마초 약쟁이가 돈벌려고 밀수하다 걸려놓고 부모랑 대사관직원 불러서 보석달라고 잔상 부리는것부터 에러. 니가 한국인이었어봐 어딜 감히 킹갓 대사관직원님께 멱살을 잡겠냐고 ㅋ 1심 판결 4년, 3심 30년형 받았으면 닥치고 조용히 살아야지 어이없게 탈옥도 기도하고. 중간에 감방동료도 때려죽임. 정신병원가서는 여친불러 옷벗긴담에 딸치고 받은 돈으로 교도관 매수. 결국엔 기어코 교도관도 때려죽이고 감방 탈출해서 그리스로 불법 월경. 영화 끝나는 내내 내 잘못은 하나 없다며 비인간적인 수감생활만 프로파간다 쩌는 노답영화 ㅋㅋ결론은 약쟁이가 남의 나라에서 대마초 밀수하다 깜방가고 사람 2명 죽인담에 탈옥한 실화 기반 영화. 진짜 답도 없다 저새낀 ㅋㅋ 저거 미국에서 펜타닐 하다 죽는다 내 장담하지"
"638","살인청부업자","8","왜 인기많은지 납득 완료 영화관에서 처음 봤는데 묘한 긴장감들이 더 잘 느껴져서 좋았다"
"639","리멤버","2","너무 억지스럽고 나대는영화.."
"640","낮에는 덥고 밤에는 춥고","10",""
"641","시카리오: 데이 오브 솔다도","4","오 마이 갓뜨 왓 해픈. ㄷ ㄷ"
"642","공조2: 인터내셔날","8","원작을 모르고 봐서 보는내내 속으로 흐억!흐억!함 나나의 재발견 스크린으로 더 많이 보고싶다"
"643","옆집사람","10","아역배우님의 연기는 두말할 것도 없구요, 이 배역은 진구배우님이라서 또 가능했네요. 캐스팅이 너무나도 적절했습니다. 진구님의 연기에는 양아치 깡패도 있지만 심금을 울리는 그 무언가가 있습니다.. 쿠팡플레이, 진구님, 모든 배우님. 그리고 모든 제작진 여러분들 찍기 쉽지 않으셨을텐데 좋은 감정 전달해주셔서 감사드립니다... 훌쩍ㅠㅠㅠ"
"644","인생은 아름다워","7","익숙한 설정이지만 재미있게 봤음."
"645","에브리씽 에브리웨어 올 앳 원스","7","살짝 유치했지만 가볍게 보기 좋은 영화 여주가 엄청 사랑스럽다"
"646","자백","10","생각보다 재밌음 ㅋㅋ"
"647","20세기 소녀","6","전작만큼 감정이입은 안되는 느낌? 아역배우들 연기는 잘하네요"
"648","살인청부업자","2","시간아까워..영화관에 우리밖에 없을때 알아챘어야했다...."
"649","리멤버","8","완전 몰입해서 봤다 이상민배우님 연기 최고"
"650","낮에는 덥고 밤에는 춥고","2","지금 재앙이가 열심히하고잇음....정은이한테 밑보이기 싫어서 멀쩡한 공무원을 월북으로 몰아가구 ㅉㅉ"
"651","시카리오: 데이 오브 솔다도","10","올해본영화중 최고"
"652","공조2: 인터내셔날","10","진짜 재밌음.. 둘 합도 좋고 연기를 너무 잘해서 몰입도 최고였음"
"653","옆집사람","10","볼만한데 너무 박하다.이런 영화를 많이 봐줘야 한국도 블록버스터들이 탄생하지.언제까지 국뽕이나 억지 신파만 관람객이 몰릴텐가?"
"654","인생은 아름다워","10","G.O.A.T 말이 필요없다"
"655","에브리씽 에브리웨어 올 앳 원스","9","현실적이고 보는내내 추웠다…"
"656","자백","10","나는 재미 있게 봤어요 개인 생각이지만 생각보다 재미 있고 새로운 경험 ㅎ 굿판이라서  신기하기도 하고"
"657","20세기 소녀","9","이렇게 완벽한 오락 영화가 나올 줄은 시국이 원망스럽다"
"658","살인청부업자","8","이형사랑 돼지엄마 ㅋㅋㅋ"
"659","리멤버","8","탄성이 나오는 캐스팅 여전히 정돈되지 않는 유머"
"660","낮에는 덥고 밤에는 춥고","6","뻔하다  너무 풋풋하긴 해요"
"661","시카리오: 데이 오브 솔다도","8","1편과 큰 차이없는 킬링타임 영화"
"662","공조2: 인터내셔날","9","올해 개봉한 웬만한 히어로영화중에 가장나음DC쪽에선 아쿠아맨 재밌게 봤는데 그거보다 조금 덜한정도때려 부수고 투닥거리는 영화라 보는맛이 있었음"
"663","옆집사람","7","사로잡는 환상적인 꿈의 공포 빈약한 스토리"
"664","인생은 아름다워","8","욕망이 가득한 시선에 그을린 저 먼 곳의 메아리"
"665","에브리씽 에브리웨어 올 앳 원스","2","너무 난해해ㅜ 어쩌젼ㅇ"
"666","자백","9","필름 시절의 오래된 영화입니다네거티브 16 mm 포맷을 35mm 디지털 로 리스토어 했다지만여전히 필름 영화미가  물씬 느껴집니다 게다가 CGV 아트관 특성상 영사기 소음이 들리기 때문에 더욱 그러했습니다 . 의외의 만족감이라고 할까요 ?지루함은 필수 ~ 참고 끝까지 보고 나면 피식 하고 미소 짓게 되는 어이없는 마법의 영화입니다"
"667","20세기 소녀","2","독특인지 이상한건지..보다..말았음"
"668","살인청부업자","10","진짜 역대급 영화였습니다 너무 재밌고 신선하고 너무나 취향저격 .... 하 또 보고싶어요 ㅋㅋㅋㅋ 이런류 영화가 취향이신분들은 진짜 환장할 영화 진짜 무조건 추천 !!!! ㄹㅇ 중간부터 눈물나가지고 참느라 힘들었음 ㅠㅠ"
"669","리멤버","8","이제 막 씨네f에서 봤는데 마지막 역에서 헤어지는 장면 그냥 기차가 빠르게 지나가고 루 할아바지 고이치로가 사라지는걸로 했으면 더 자연스업고 잔잔했을건데 내내 좋다가 끝부분에서 작위적이라 좀 아쉬움. 검색으로 신카이마코토 딸이란걸 보고 쇼킹. 연기 잘한다. 루도 연기 너무 잘했어ㅠ 힐링물 좋아하는 나는 너무 좋았다"
"670","낮에는 덥고 밤에는 춥고","5","노래를 한다고 뮤지컬 영화가 아니고 눈물이 난다고 좋은 영화는 아닌"
"671","시카리오: 데이 오브 솔다도","5","마치 밀실에서 벌어지는 추리 영화처럼 보이다가, 중반 이후로는 반전을 담은 드라마로 전개된다. 반전은 나쁘지 않지만, 여러 캐릭터들의 동기와 역할은 명확하지 않고 애매해서 아쉽다."
"672","공조2: 인터내셔날","5","우연히 기분 나쁜 일에 휩쓸리는 초반부는 서스펜스가 상당하지만, 다소 막나가고 쓸데없이 폭력적인 후반부는 아쉽다. 박중훈은 장르에 맞을 때도 있고 어색할 때도 있는 연기를 펼친다."
"673","옆집사람","10","연기력, 반전이 미쳐요 꼭보세염여먀여명먀"
"674","인생은 아름다워","10","영화관에서 영화를 보고 듣고 체험하는 기쁨을 실감하게 해준 역작"
"675","에브리씽 에브리웨어 올 앳 원스","8","괜찮은 반전 그리고 너무 잦은 반전"
"676","자백","10","먼가 되게 재밌고 새로운 느낌의 영화였어요 그리고 영화의 연출? 이 너무 새롭고 좋았어요!!!"
"677","20세기 소녀","10","후반부에 들어서 보는 내내 울었다내 인생 영화에 들어감"
"678","살인청부업자","8","역시 더 락은 모든걸 뿌셔"
"679","리멤버","10","내일 또 봐요...두번다시  못보는 첫사랑이 생각나 너무나도 울었던 영화."
"680","낮에는 덥고 밤에는 춥고","2","감독에게 점수를 줄 수 없다. 배우들은 감정을 끝까지 놓지 않는 배우와 상황뿐인 열연만 하는 배우로 나뉜다. 저예산이라 영상미, 미술, 너무 저렴하다.."
"681","시카리오: 데이 오브 솔다도","9","최근에 용아맥으로 봤는데 너무 좋았습니다."
"682","공조2: 인터내셔날","1","서갑숙이라니?..."
"683","옆집사람","10","내내 웃었고 울었던 영화, 잘 봤습니다"
"684","인생은 아름다워","10","감동적이고 너무 재미있음"
"685","에브리씽 에브리웨어 올 앳 원스","9","우크라이나 애니메이션이네...니들이 아직 이현세의 아마겟돈 맛을 못봤구나?"
"686","자백","9","이것은 과거의 영화인가 현재의 영화인가"
"687","20세기 소녀","4","그닥,, 사람이 미련하게 착해"
"688","살인청부업자","10","상상하는대로 마음먹은대로 멋지다"
"689","리멤버","6","사람들이 만들어낸 잣대 속에서 살아남기"
"690","낮에는 덥고 밤에는 춥고","8","재미있게 잘봤습니다."
"691","시카리오: 데이 오브 솔다도","4","영화 한편에 온갖걸 다 집어넣은 맛없는 짬뽕. 코메디영화니까 웃겨야한다는 강박으로 만든 영화."
"692","공조2: 인터내셔날","5","범죄도시의 감독이네"
"693","옆집사람","10","여운이 남는 영화. 습지와 새들을 품은 아름다운 영상미와 스토리가 정말 좋았습니다. 원작 책도 읽어봐야 겠네요."
"694","인생은 아름다워","10","기대 하나도 안하고 봤는데, 마블이 요새 재미없게 만들어서 히어로영화 가뭄이었는데 블랙아담이 굶주린 우리마음 다 채워줌.. 캐릭터 하나 하나 다 매력있어서 좋았음. 특히 삼촌 짱!쿠키가 역대급. 디씨가 진짜 이악물고 만듬.."
"695","에브리씽 에브리웨어 올 앳 원스","7","디스토피아 영화의 표본"
"696","자백","2","OOO기영화 마지막까지 암것도안나옴"
"697","20세기 소녀","10","난 좋았음. 흑백논리 얘기하는 거랑 배우들 인종, 외모로 연출한 스토리도. 사람이기에 진정한 선도 악도 없음을. 그럼에도 선의 가치를 전달하는. 좋았음 !"
"698","살인청부업자","9","재밌었습니다. 다 알고 있는 사람이 설명하는 듯하다 반전도 나오고 좋았습니다. 그런데 소지섭이 한 유민호 역은 왜 자신이 더 범인으로 몰릴 수 있는데 문 끈(?)은 안 풀었을까요? 경찰 출동으로 경황이 없었나?"
"699","리멤버","10","현빈님 보느라 넋이 나갔네요ㅎㅎ연기는 말할것도 없구요~~!!!"
"700","낮에는 덥고 밤에는 춥고","6","어른들을 위한 따뜻한 판타지 동화"
"701","시카리오: 데이 오브 솔다도","10","반전이 지림 이정도면 띵작이지"
"702","공조2: 인터내셔날","2","미안하다.보다 말았다. 진짜 이게 뭔지 싶게 심하게 현타와서 더는 못보겠는 영화.특히 젤 싫었던 캐릭터는 박해수가 연기한 검사...다 이상하지만 대체 넌 뭐라니!"
"703","옆집사람","5","너로정했다가 훨 예쁨. 작화팀 애니메이션팀 고생한거 보이네요"
"704","인생은 아름다워","10","그래도 변배우 나오니까..ㅎ"
"705","에브리씽 에브리웨어 올 앳 원스","5","나름 시간때우기에는 쏘쏘함"
"706","자백","5","나름 시간때우기에는 쏘쏘함"
"707","20세기 소녀","9","너무 큰기대 안한다면.."
"708","살인청부업자","10","아 윤아 진짜 대박웃었음ㅜㅜ푼수이미지가 더이쁜듯진선균님도정말 악역멋있는듯 오랜만에재밌게봄"
"709","리멤버","1","이런것도 영화라고 만드는 양심없는 감독...나같으면 어디가서 쪽팔려서 영화 감독이라고 못할거 같다"
"710","낮에는 덥고 밤에는 춥고","8","마블처럼 복잡하지 않고 단편 액션영화로 즐기기 딱 좋다.미국의 마동석인데, 당연히 호쾌하지"
"711","시카리오: 데이 오브 솔다도","10","초등학생때 보고 갑자기 생각나서 다시본 영화. 이제 30대를 앞두고 있는데 하루하루를 더 소중히 생각하며 감사하는 인생을 살아야겠다고 다짐했음."
"712","공조2: 인터내셔날","8",""
"713","옆집사람","7","지금봐도 볼만한 뱀파이어류 수작. 옆집 남자가 흡혈귀라니 얼마나 신날까"
"714","인생은 아름다워","10","개인적으로 2022년 최고의 한국영화라고 생각한다.너무 수준이 높았다.."
"715","에브리씽 에브리웨어 올 앳 원스","10","이가 가려우면 양치를 해야지"
"716","자백","5","이거 무섭다고 하는 인간들 제 정신임?? 존나 무섭다해서 봤더만 무섭지도 않구만 억지로 보다가 성냥키고 끝"
"717","20세기 소녀","2","이거 평점이 뭔가 잘못 됐는데?"
"718","살인청부업자","10","아니 나만 울었어..?"
"719","리멤버","10","진짜 재미있어요! 이성민 배우가 진짜 연기를 잘하고 내용자체가 생각해야하는 내용이라 좋았어요."
"720","낮에는 덥고 밤에는 춥고","10",""
"721","시카리오: 데이 오브 솔다도","8","지금보면  그렇게 션세이널한 영화는 아니다. 작가 왕가위."
"722","공조2: 인터내셔날","10","2탄 왜 안나오냐구요ㅜㅜ"
"723","옆집사람","10","당신의 눈동자에 건배 ----"
"724","인생은 아름다워","10","그저 감동만이 가득하다."
"725","에브리씽 에브리웨어 올 앳 원스","10","이 영화는 정기적으로  극장에서 봐야합니다."
"726","자백","10","우연히 정말 좋은 영화 보게 되어서 행복하네요... 인생은 역시 운명과 선택인것 같아요. 어떤 선택을 하던 행복은 마음가짐에 있다는 것... 교훈도 있고 희망도 주는 좋은 영화에요."
"727","20세기 소녀","10","영화 재미있게 봤어요. 추천합니다"
"728","살인청부업자","10","이게 정말 옛날 영화입니까? 추천합니다"
"729","리멤버","6","스토리가 진부함 앞이 계속 예측됨"
"730","낮에는 덥고 밤에는 춥고","10","40년 어린시절 느꼈던 감동을 극장에서 돌비로 음악을 들으며 보는 것 자체가 큰 선물과도 같았습니다. 라스트씬에서는 울컥 하더군요. 고다이고의 노래을 마지막까지 다 듣고 나왔습니다."
"731","시카리오: 데이 오브 솔다도","8","스토리는 장식 액션은 일품보스는 존재감 없음닥터페이트 멋짐"
"732","공조2: 인터내셔날","10","‘어떤 삶을 살아야 하는가’에 대한 고민의 깊이 만큼 되돌려 주는 영화"
"733","옆집사람","9",""
"734","인생은 아름다워","10","2편 기대합니다 재밌어요"
"735","에브리씽 에브리웨어 올 앳 원스","2","별 하나도 아까운 영화. 설정도 미약 연기력도 꽝. 걍 공포나 스릴 보단 그냥 드러운 장면에 보다 그만봄."
"736","자백","8","식상한 재료를 신선하게"
"737","20세기 소녀","4","액션 빼고는 그닥 인상적이지 않음"
"738","살인청부업자","9","처음엔 너무 산만해서 무슨 내용인지 몰입이 안되었는데 후반부로 갈수록 흥미진진하고 재미있었다. 근데 2부는 언제 나오는거야 ㅠㅠ"
"739","리멤버","1","봤던 영화중에 진짜 세손가락 들정도로 ㅈㄴ재미 없음 어거지 반일+개연성제로+남주혁 연기+신파 그냥 똥닦는게 더 재밌음"
"740","낮에는 덥고 밤에는 춥고","10","으아니 이거 외않봐… 생각보다 재밌고 우리가 너무 과거를 잊고 사는구나 싶었네요… 남주혁은 이제 모든 연기가 다 되네… 하고싶은거 다 해 ?♀?"
"741","시카리오: 데이 오브 솔다도","8","영화 잘 봤습니다~ㅎㅎ"
"742","공조2: 인터내셔날","1","만들지 말았어야 하는 영화"
"743","옆집사람","10","아이들과 노인들이 왜이렇게 아름답게 보이는지.."
"744","인생은 아름다워","9","별 기대없이 봤는데 재밌고 , 감동적인 부분도 있었음"
"745","에브리씽 에브리웨어 올 앳 원스","10","난 너무 신선하고 재밌는데 한국판 마블? 두번째 보는중다음 시즌 기대됨~~평들이 재미없다길래 기대안하고 봤는데 난 저런 장르를 좋아하나봐요"
"746","자백","8","연기로 깔사람이 없다 명작인 거에는 다 이유가 있지"
"747","20세기 소녀","8","모든것이 잘못되가고 있다는 생각이 들때 모든것이 괜찮아질거라는 단 한마디의 말"
"748","살인청부업자","7","아름다운 풍광 좌충우돌 로코의 탈을 쓴 명랑하고 따뜻한 가족영화"
"749","리멤버","10","극장에서 볼까말까 고민해서 죄송합니다 고민할 시간에 빨리봐라"
"750","낮에는 덥고 밤에는 춥고","10","원래 노래 듣는걸 좋아하는데 영화를 시청하면서 익숙한 노래라 인상깊게 봤어요!! 또 볼것같아요! (그리고.. 많이 슬프니까 휴지나 손수건 가져가세요ㅠㅠ)"
"751","시카리오: 데이 오브 솔다도","8","연기력이 두개로 나뉜 느낌이 든다. 기술자는 선한 얼굴이지만 살인해 대해 흔들림 없는 감정선을 이어가는 게 인상적이었음. 타인의 죽음이 익숙한 지루함 이랄까? 음악도 영상도 참 묘~하네"
"752","공조2: 인터내셔날","10","진짜 오랜만에 영화관에서 펑펑울었다노래가 더 내마음을 울리고 가족 생각이 많이 나서 눈물이 멈추질않음ㅠㅠ"
"753","옆집사람","6","괜찮은 스릴러였다"
"754","인생은 아름다워","10","우린 서로 각자의 방식으로 살아간다. 또한 순간의 선택으로 모든것이 바뀌기도 한다. 이 모든것들은 각자의 신념으로 고착화된다. 하지만 각자의 방식과 선택과 신념도 타인에의해 바뀌기도 한다. 좋던 싫던 각자의 방식으로 우린 현재도 사랑하며 살아가고 있다."
"755","에브리씽 에브리웨어 올 앳 원스","8","인간은 항상 그렇다. 합리적이고 싶지만 언제나 비합리적인 존재라는 것을, 모순적이라는 것을."
"756","자백","10","최고예요. 강추합니다!!!!"
"757","20세기 소녀","10","요즘 개봉했다면 2000만은 거뜬할 영화~  시즌 2를 기대합니다."
"758","살인청부업자","10","아니 끝까지 클리셰 범벅이어서 개좋아하고 있는데 왜 죽여요.... 왜 새드엔딩이냐고요ㅠㅠ"
"759","리멤버","10","좋은 영화 감사드립니다"
"760","낮에는 덥고 밤에는 춥고","1","몰입이 안되고 영 따분하던데 난"
"761","시카리오: 데이 오브 솔다도","8","아무 정보없이 그냥 봤는데 뭔가 애매하지만 재밌음특히 몇명 보고 깜놀함 .. 이사람이 마블에?!"
"762","공조2: 인터내셔날","1","오늘 떳길래 봤는데 이거 뭐냐ㅋㅋ틀어놓고 네이버뉴스 봤다 그게 더 재밌어서"
"763","옆집사람","6","닥터스트레인지, 앤트맨, 토르가 보에는 영화"
"764","인생은 아름다워","9","오동민이란 배우의 발견. 앞으로가 굉장히 기대된다"
"765","에브리씽 에브리웨어 올 앳 원스","10","인생 최고의 영화전무후무한 영화라 호언함.죽을때까지 이런영화 만나기 힘들다 본다"
"766","자백","7","전편에 비해 많이 아쉽다 재미가 부족해"
"767","20세기 소녀","4","짐 캐리의 다채로운 표정연기 좋네요~~ 어렸을 때 추억으로 봤는데, 재밌게 봤습니다."
"768","살인청부업자","10","당연히 소설이 더 재밌긴 하지만 매력적인 여주 캐스팅이랑 영상미 덕분에 넘 잘봤습니당!!"
"769","리멤버","10","처음부터 끝까지 오열했습니다...노래도 아는 노래들이어서 신나게 본 거 같네요 감사합니다좋은 영화만들어주셔서"
"770","낮에는 덥고 밤에는 춥고","10","전투기 액션 미쳤다. 전작을 이어 전작을 뛰어넘은 전설이 될 영화."
"771","시카리오: 데이 오브 솔다도","4","연기는 너무좋은데 클리셰범벅이라는게 뭔지 지대로 깨닫게해준영화.. 스토리만 더 좋았어도  ㅠ"
"772","공조2: 인터내셔날","10","뭐야? 재밌잖아???"
"773","옆집사람","10","액션최고 연출최고 보고도 믿기지가 않는영화"
"774","인생은 아름다워","10","영화 참 기깔나게 잘 만드셨다."
"775","에브리씽 에브리웨어 올 앳 원스","10","배우들이 연기 너무 잘하네요 ~ 정일우님 평소에는 연기 잘하는지 몰랐는데... 보고 깜짝 놀랬네요.. 진짜 찌질한 정신병자 제대로 ㄷ ㄷ ㄷ 라미란님 연기도 그렇고 ..다 각자의 시각에서 잘 풀어낸 영화였습니다 .. 오랫만에 장난같지 않은 영화를 본 것 같네요 .. 호불호가 갈릴수는 있겠지만 ~ 작품성은 있습니다 ."
"776","자백","10","반려견을 키우는 누구나 공감할수있는 이야기에 아역배우와 루의 연기가 너무나 좋았습니다"
"777","20세기 소녀","1","클리셰가 영화 망쳤음"
"778","살인청부업자","10","친일파를 청산하지 못한 민족은 영원히 혼란에 빠진다. 국찜당과 굥석열차같은게 나온건 첫단추인 친일파청산에 실패했기 때문이다."
"779","리멤버","6","거북선 등장 마자 전율이..."
"780","낮에는 덥고 밤에는 춥고","8","천재라는 자가 저렇게 허술하게 무너지다니... 완전 다른 차명으로 부동산 샀으면 안들켰을거 아님?! 결말 너무 허무함...주인공 검사야말로 혼이 났어야 하는데 ㅜㅠ"
"781","시카리오: 데이 오브 솔다도","5","윤아 이쁨. 윤아님의 비중을 늘린게 좋았다 뿐."
"782","공조2: 인터내셔날","9","아무 생각 없이 봤는데 재밌었습니다."
"783","옆집사람","6","레알 잔인하다. 최근 본 영화들 중 가장 잔인."
"784","인생은 아름다워","7","나름의 반전도 있고 약간 색다른 스릴러로 볼만했다.."
"785","에브리씽 에브리웨어 올 앳 원스","5","서울극장이 사라진게 아쉬울 뿐이다."
"786","자백","5","B급 C급의 나름 각잡고 보면 재미는 좀 있었지만 뒤로 갈수록 봐주는데도 한계가 있었다."
"787","20세기 소녀","10","정말 보면서 웃고 울고 또 웃다 또 울었다...어머니랑 보고싶다.!정말 좋은 영화 잘만든 영화!!!기대했고 기대보다 더 갚진 영화"
"788","살인청부업자","10",""
"789","리멤버","8","이미 성인까지 성장해놓고 뒤에 여주를 바꿔서 몰입도 떨어뜨리는 이유를 정말정말 모르겠드라. 어이없는 결말. 내 평점은 유정이까지 10점 뒤에 감점"
"790","낮에는 덥고 밤에는 춥고","10","진짜 재밌게 봤다. 이런 영화 많이 만들어 주삼"
"791","시카리오: 데이 오브 솔다도","1","산만하고 맥락없다.."
"792","공조2: 인터내셔날","8","신박하고 재밌었다. 세명의 배우가 펼치는 연기들이 조화롭고 좋았다. 청담도령 의리에 박수를.."
"793","옆집사람","8","살벌하다...베리 키호건만 가능한 연기"
"794","인생은 아름다워","8","최근 본 히어로 영화 중 가장 만족스럽다. 드웨인 존슨의 블랙 아담은 강력했고 피어스 브로스넌의 닥터 페이트는 정말 멋졌다. 꼬맹이 부분이 좀 오글거리고 유치했지만 블랙아담의 좋은 시작이였고 액션이 무척 좋았다. 다음이 기대된다."
"795","에브리씽 에브리웨어 올 앳 원스","1","근래 보기 힘든 훌륭한 망작이다."
"796","자백","7","한정된 공간에서 긴장감 좋음. 주인공이 경시생인데 상황판단력이 저거 밖에 안되나 싶어 좀 피로하지만 뚝심있게 긴장감과 쉽게 예상못할 전개로 이야기가 흘러감. 최희진 배우의 비주얼과 연기가 좋았음. 숨죽이며 재밌게 즐길수 있었다."
"797","20세기 소녀","10","변우석배우님ㅜㅜ청춘시대때멋잇엇는데드뎌제대로된작품을만나셧네요ㅎㅎ표정연기도좋고김유정님이랑케미도좋아요ㅜㅜ설레고간질간질한ㅜㅜ넘좋앗어용ㅜ"
"798","살인청부업자","10","한마디로 명작입니다."
"799","리멤버","7","미 한인사회의 의식체계를 뒤흔들어버린사.이.구 LA폭동...당시 흑인들의 약탈과 살인을 방치하며 손을 놓고 있던 LA경찰...이에 맞서 자신들의 재산과 생명을 철저히 스스로의 손으로 지켜낸 그들..."
"800","낮에는 덥고 밤에는 춥고","3","뭐가 절친이고 악당인진 모르겠지만"
"801","시카리오: 데이 오브 솔다도","6","양조위 없었으면 어떡할뻔 했을까"
"802","공조2: 인터내셔날","6","포스터 배경 왜 저걸로 함? 전혀 관계 없음. 긴장감 좋았고 제라드 버틀러 멋짐."
"803","옆집사람","5","맛있는걸 섞었는데 맛 없는 요리가 나왔어"
"804","인생은 아름다워","7","유치한 스토리+화려한 액션만으로도 최근 한국영화들을 압도하죵"
"805","에브리씽 에브리웨어 올 앳 원스","8","엉성하지만 엉성하기에 더 매력적인"
"806","자백","1","진짜 개억지의 억지의 억지를 넘어서면 또 억지가 나오는 영화..보고나서 뭔가 화가나고 내가 왜 이딴영화를 봤지? 하는영화는 이게 처음이었네요..뭘 말하고자 하는지 메시지도없고 스토리도 없고뭔가 총을쏘고 죽이고 하긴하는데 긴박함도없고후반 헬기씬은 진짜 보면서 아.. 언제끝나지.. 이생각만 들었어요진짜 ㅋㅋ 무슨 cg에 웃고 뭔가 연출이 너무 과해서 어지러운느낌?예를들어 소고기를 진짜맛있게 먹을때 와사비 조금만 곁들여서 먹으면 진짜 끝판왕으로 맛있는데와사비를 들이부어서 그 맛있는 소고기가 진짜 토나오게 맛 없어진 느낌..?그냥 웬만하면 안보시길 추천드립니다..마지막에 2편 암시하는 장면에서 진짜 헛웃음만 나왔어요 ㅋㅋ 2편 그냥 안나왔으면하는..."
"807","20세기 소녀","9","거친 배트맨을 봐서 좋아요"
"808","살인청부업자","10","20세기에 살지는 않았지만 너무 몽글몽글한 그런 분위기부터 변우석의 마지막 대사인 ""보고 싶어 21세기의 네가"" 이게 진짜 찢었다"
"809","리멤버","6","예전에 그냥 그렇게 봤는데 무삭제판을 다시 보니 괜찮은 영화였네. 강한나 등장하는 첫장면을 보고 강한나가 천사인줄 알았는네... 결말 전까지는 재미있는데 결말이 이렇게 유치하다니... 너무 오글거림. 노도 없는 배타고 도망이나 갈 수 있나? 화살 맞고도 멀쩡??? 별점 8점 줬다가 결말 5분 때문에 6점으로 낮춤."
"810","낮에는 덥고 밤에는 춥고","10","내가 나를 부정할 때, 내가 나를 믿지 못하겠을 때 보면 좋을 영화이다. 무한한 나 자신의 가능성과 잠재력은 이미 존재중이라는걸 알 수 있을것이다. 단지 보이지 않는다고 해서 못믿지 말것!! 당신은 어디든, 어디에서든 뭐든 다 이룰 수 있은 사람이니까!"
"811","시카리오: 데이 오브 솔다도","5","베놈과 동등"
"812","공조2: 인터내셔날","4","하.."
"813","옆집사람","6","귀여워"
"814","인생은 아름다워","8","장엄한 역사의 시작을 아이맥스로"
"815","에브리씽 에브리웨어 올 앳 원스","10","영화를 사랑함에도 감히 내가 그 작품을 평가할 자격이 없기에 이런 글 한번도 남겨본적 없지만 이런 대본은 저희집 뽀삐도 안쓸것 같습니다. 하도 알바가 많아서 10점 주고 제 개인평 씁니다 도망치세요"
"816","자백","10","영화관에서 느낄 수 있는 최고의 경험"
"817","20세기 소녀","10","친일파 문제 ,,,볼만했어요"
