"","vtitle","vpoint","vreview"
"88","살인청부업자","7","아내를 사랑하는 한 남자 윌(제라드 버틀러)의 이야기가 화면 가득 채우는 영화 <분노의 추격자>를 보았습니다. 믿고 보는 배우 제라드의 사랑의 크기만큼 뜨거운 액션 영화였습니다.?바람피운 아내가 차갑게 대하며 시간을 갖자고 하자, 윌은 그녀를 그녀의 부모님댁에 데려다줍니다. 가는 도중 기름이 떨어져 주유소에 들르는 부부. 가려진 트럭 뒤로 아내 리사는 사라지고 윌은 그녀를 찾기 위해 경찰에 신고하지만, 경찰은 윌을 신문하며 오히려 그를 의심합니다. 바람피운 아내를 사랑하는 남자의 사랑은 어디까지 희생적일 수 있을까요??휴게소의 CCTV에 남겨진 아내 리사의 영상을 토대로 윌은 아내를 찾아 나섭니다. 아무것도 없이 시작된 그의 추격은 범인들의 윤곽이 선명해질수록 흥미진진해지는데요. 역시 맨손으로 적을 제압해 나가는 제라드의 액션은 너무나도 재미있습니다.?마약과 인신매매범들의 타깃이 된 리사는 고향의 친구에게 납치되어 어딘가에 갇혀있고, 그녀를 찾기 위해 온몸을 불살라 적들과 싸우는 남편의 모습은 너무도 멋집니다.?부유한 부동산 중개업자 윌, 그리고 어느새 식어버린 아내의 사랑을 되찾기 위해 고군분투하는 한 남자의 사랑이 위험천만하지만 아슬아슬하게 넘어가며 관객의 심장을 쫄깃거리게 만들었습니다.?특별한 이야기는 아니지만, 제라드의 액션을 보는 것만으로도 스트레스가 확 날아가 버리는 킬링타임용 영화입니다. 바람피운 아내를 용서하고 그녀를 구하기 위해 목숨을 바칠 수 있는 남편이 많지는 않겠지만, 윌의 사랑으로 아내 사라는 분명히 다시 돌아올 것이라는 생각이 드네요.?아내가 버린 버린 남자, 경찰도 믿어주지 않는 상황에서 그는 아내를 무사하게 구했을까요? 숨죽여 끝까지 윌을 응원하게 되는 영화 <분노의 추격자>였습니다."
"89","리멤버","8","전달하고자 하는 메시지를 짱구만의 감성과 개그로 풀어냈다"
"90","낮에는 덥고 밤에는 춥고","10","연가도 잘하고 재밌어요!!"
"91","시카리오: 데이 오브 솔다도","10","넘 재밌음...신은경님 멋있어요ㅜㅜㅜㅜ"
"92","공조2: 인터내셔날","8","스릴 완전 미쳤ㄷr..."
"93","옆집사람","2","스릴도 없고.. 어정쩡한 영화.. 박솔미 이쁘고 박해일 연기 좋다"
"94","인생은 아름다워","1","캐스팅 실컷 잘 해놓고 이렇게밖에 못 만드는 이유가 뭘까… 보면서 웃지도 울지도 않았음. 웃었던 순간은 키스신 장면뿐ㅋㅋ^.^시간 아깝다"
"95","에브리씽 에브리웨어 올 앳 원스","10","마츠코는 죽음이 두려워 살아간 것이 아니다 그저 꿈을 포기하지 않았을 뿐"
"96","자백","10","생각한.것.보다는.정말.재밌어요 ^^"
"97","20세기 소녀","8","이거 나만 재밌음? 스토리 이해 잘되던데 ;;"
